sname,sprice,sdate,rangee
Vedanta Ltd,317.85,11/11/21 10:40:51,317.85-326
Vedanta Ltd,319.4,11/11/21 10:42:40,317.85-327
Vedanta Ltd,318.95,11/11/21 10:43:06,317.85-328
Vedanta Ltd,318.25,11/11/21 10:43:57,317.85-329
Vedanta Ltd,318.7,11/11/21 10:44:58,317.85-330
Vedanta Ltd,319.5,11/11/21 11:22:12,317.85-331
Vedanta Ltd,323,11/11/21 12:54:42,317.85-332
Vedanta Ltd,323.85,11/11/21 13:15:59,317.85-333
Vedanta Ltd,323.85,11/11/21 13:16:32,317.85-334
Vedanta Ltd,325.4,11/11/21 13:47:48,317.85-335
Vedanta Ltd,326,11/11/21 13:49:40,317.85-336
Vedanta Ltd,325.5,11/11/21 14:04:28,317.85-337
Vedanta Ltd,325.4,11/11/21 14:10:51,317.85-338
Vedanta Ltd,328.5,12/11/21 14:27:11,323.75 - 331.65
Vedanta Ltd,329.9,12/11/21 14:30:43,323.75 - 331.65
Vedanta Ltd,330.45,12/11/21 14:39:08,323.75 - 331.65
Vedanta Ltd,329.45,12/11/21 14:47:52,323.75 - 331.65
Vedanta Ltd,329.75,12/11/21 14:55:45,323.75 - 331.65
Vedanta Ltd,328.35,12/11/21 15:06:11,323.75 - 331.65
Vedanta Ltd,328.45,12/11/21 15:16:00,323.75 - 331.65
Vedanta Ltd,328,12/11/21 15:23:19,323.75 - 331.65
Vedanta Ltd,327.9,12/11/21 15:24:24,323.75 - 331.65
Vedanta Ltd,328.15,12/11/21 15:25:58,323.75 - 331.65
Vedanta Ltd,329,12/11/21 15:29:52,323.75 - 331.65
Vedanta Ltd,329,12/11/21 15:59:37,323.75 - 331.65
Vedanta Ltd,324.65,15/11/21 15:54:37,324.00 - 331.65
Vedanta Ltd,324.65,15/11/21 15:59:09,324.00 - 331.65
Vedanta Ltd,335,16/11/21 9:58:35,324.00 - 335.60
Vedanta Ltd,335,16/11/21 9:59:12,324.00 - 335.60
Vedanta Ltd,334.8,16/11/21 9:59:31,324.00 - 335.60
Vedanta Ltd,334.3,16/11/21 10:00:25,324.00 - 335.60
Vedanta Ltd,334.8,16/11/21 10:01:32,324.00 - 335.60
Vedanta Ltd,335.05,16/11/21 10:08:56,324.00 - 335.90
Vedanta Ltd,335.3,16/11/21 10:10:14,324.00 - 335.90
Vedanta Ltd,335.5,16/11/21 10:16:14,324.00 - 335.90
Vedanta Ltd,335.7,16/11/21 10:16:47,324.00 - 335.90
Vedanta Ltd,336.3,16/11/21 10:17:04,324.00 - 335.90
Vedanta Ltd,335.65,16/11/21 10:18:18,324.00 - 336.35
Vedanta Ltd,335.35,16/11/21 10:19:20,324.00 - 336.35
Vedanta Ltd,335.1,16/11/21 10:20:40,324.00 - 336.35
Vedanta Ltd,335.6,16/11/21 10:21:48,324.00 - 336.40
Vedanta Ltd,335.25,16/11/21 10:33:08,324.00 - 336.40
Vedanta Ltd,335,16/11/21 10:33:23,324.00 - 336.40
Vedanta Ltd,335.15,16/11/21 10:33:47,324.00 - 336.40
Vedanta Ltd,335.1,16/11/21 10:34:13,324.00 - 336.40
Vedanta Ltd,335.35,16/11/21 11:03:14,324.00 - 338.40
Vedanta Ltd,336.7,16/11/21 11:07:15,324.00 - 338.40
Vedanta Ltd,339,16/11/21 11:23:10,324.00 - 339.30
Vedanta Ltd,338.9,16/11/21 11:23:54,324.00 - 339.30
Vedanta Ltd,338.35,16/11/21 11:24:37,324.00 - 339.30
Vedanta Ltd,338.5,16/11/21 11:24:50,324.00 - 339.30
Vedanta Ltd,338.45,16/11/21 11:25:14,324.00 - 339.30
Vedanta Ltd,338.5,16/11/21 11:25:32,324.00 - 339.30
Vedanta Ltd,338.4,16/11/21 11:25:44,324.00 - 339.30
Vedanta Ltd,338.35,16/11/21 11:26:08,324.00 - 339.30
Vedanta Ltd,337.7,16/11/21 11:27:01,324.00 - 339.30
Vedanta Ltd,337.8,16/11/21 11:27:07,324.00 - 339.30
Vedanta Ltd,338.55,16/11/21 11:29:33,324.00 - 339.30
Vedanta Ltd,337.8,16/11/21 11:30:35,324.00 - 339.30
Vedanta Ltd,338.05,16/11/21 11:31:24,324.00 - 339.30
Vedanta Ltd,337.9,16/11/21 11:33:22,324.00 - 339.30
Vedanta Ltd,338,16/11/21 11:34:08,324.00 - 339.30
Vedanta Ltd,336.35,16/11/21 13:07:28,324.00 - 339.30
Vedanta Ltd,336.7,17/11/21 12:32:34,329.00 - 337.80
Vedanta Ltd,336.8,17/11/21 12:33:07,329.00 - 337.80
Vedanta Ltd,337.25,17/11/21 12:33:50,329.00 - 337.80
Vedanta Ltd,337.15,17/11/21 12:34:09,329.00 - 337.80
Vedanta Ltd,337.15,17/11/21 12:34:09,329.00 - 337.80
Vedanta Ltd,337.5,17/11/21 12:35:19,329.00 - 337.80
Vedanta Ltd,337.8,17/11/21 12:37:09,329.00 - 337.80
Vedanta Ltd,336.65,17/11/21 12:39:31,329.00 - 337.90
Vedanta Ltd,337.55,17/11/21 12:43:48,329.00 - 337.90
Vedanta Ltd,337.45,17/11/21 12:44:55,329.00 - 337.90
Vedanta Ltd,337.4,17/11/21 12:45:16,329.00 - 337.90
Vedanta Ltd,337.45,17/11/21 12:46:54,329.00 - 337.90
Vedanta Ltd,336.7,17/11/21 12:55:19,329.00 - 337.90
Vedanta Ltd,337.35,17/11/21 13:09:26,329.00 - 337.90
