"","X1st","X2nd","X3rd","X4th","X5th","Gender"
"1",8.11,7.68,7.11,7.43,8.18,"Female"
"2",6.48,5.9,4.15,4.29,4.96,"Male"
"3",8.41,8.24,7.52,8.25,7.75,"Female"
"4",7.33,6.83,6.33,6.79,6.89,"Male"
"5",7.89,7.34,7.22,7.32,7.46,"Female"
"6",7.33,6.72,6.48,6.5,7.39,"Male"
"7",7.15,6.72,6.89,6.86,7.64,"Female"
"8",6.74,6.38,4.93,5.64,6.75,"Female"
"9",7.89,7.45,6.96,7.71,8,"Female"
"10",7.3,6.34,6.3,6.61,6.18,"Male"
"11",8,7.9,7.52,7.64,8.11,"Female"
"12",6.78,4.28,5.81,6.04,6.39,"Female"
"13",5.67,5.62,5.48,5.93,6.75,"Male"
"14",6.33,6.41,6.41,6.93,7,"Female"
"15",6.44,6.21,6.19,6.68,6.86,"Female"
"16",6.3,6.17,5.59,5.89,6.36,"Female"
"17",6.96,6.14,6.93,7.18,7.29,"Male"
"18",6.7,6.45,5.78,6,6.61,"Male"
"19",7.41,6.93,7.33,7.71,8.46,"Male"
"20",7.04,6.31,6.44,7.21,7.32,"Female"
"21",6.63,5.62,6.11,5.79,6.25,"Female"
"22",8.33,8.72,7.81,8.04,8.93,"Female"
"23",7.96,7.93,7.78,8.21,8.21,"Male"
"24",6.89,5.55,5.93,6.79,7.54,"Male"
"25",8.19,8.17,7.15,7.75,7.64,"Male"
"26",7.89,6.69,7.15,8.43,8.36,"Female"
"27",7.33,6.55,5.96,6.75,6.89,"Male"
"28",8.22,8.17,8.37,9.04,9,"Male"
"29",7.44,7.59,7.26,7.89,7.86,"Male"
"30",5.74,6.45,6.48,7.29,7.61,"Male"
"31",6.81,6.79,6.3,7.14,7.86,"Female"
"32",8.89,8.31,7.3,9.25,8.5,"Female"
"33",8.04,7.59,7.22,8.32,8.82,"Male"
"34",8.3,8.38,7.63,7.93,8.75,"Male"
"35",8.04,6.69,6.37,6.64,6.64,"Male"
"36",7.44,7.97,7.78,8.64,8.71,"Male"
"37",7.85,6.9,7.04,7.82,8.39,"Female"
"38",8.07,7.34,7.59,7.89,8.14,"Male"
"39",7.59,7.38,7.3,8.64,8.21,"Male"
"40",8.19,7.66,7.48,8.68,8.89,"Male"
